plot_id;markareal;plot;dato;long;lat;retning;haeldning;SRI;hojde;veg_hojde;NOVANA;Naturlig;Mark;jord;dist_kant;dist_aa;TWI;Graesning;pH;P;N;C
1;33;1;2020-09-14;55.342929;8.713257;344;2;0.946425679603228;2;0.14;0.079152453;0.0595491687991349;0.186564094746795;ager;63.932302;618.066154;8.654244;0;4.75;13.898947368421;0.29;2.89
2;33;2;2020-09-15;55.340186;8.715363;24;3;0.947654854325671;3;0.32;0.0173190854987325;0.0122353223435173;0.108118656168148;ager;86.999135;285.218725;6.870847;0;5.05;14.4169915042479;0.26;2.87
3;33;3;2020-09-15;55.341308;8.715213;106;2;0.929131706184555;1;0.34;0.118809157286468;0.0886710763480008;0.173163059105858;ager;39.451408;403.367974;5.966391;0;4.87;9.11656804733728;0.36;4.05
4;33;4;2020-09-15;55.342664;8.713428;338;2;0.94634131110416;4;0.42;0.072404257663925;0.0507324831447659;0.154640385030581;ager;80.110087;586.782607;9.01089;0;4.78;10.4237762237762;0.45;5.2
5;34;1;2020-09-09;55.34002;8.707841;320;0;0.935547377402603;2;0.16;0.0663839631652746;0.0204713728553325;0.216730379494891;ager;116.941712;515.294135;6.813687;0;5.39;14.2955401387512;0.26;2.68
6;34;2;2020-09-10;55.342638;8.710636;334;3;0.951101900592558;1.5;0.32;0.0746086073461561;0.0310824907816311;0.211548878121924;ager;19.809427;680.265892;8.31776;0;5.13;11.1030607124937;0.33;3.5
7;34;3;2020-09-11;55.338280;8.713880;340;3;0.951388017549013;2;0.14;0.151872543157692;0.0825904995003444;0.270412157601219;ager;9.350296;203.217205;6.238324;0;4.8;15.7011978917106;0.36;3.53
8;34;4;2020-09-09;55.340647;8.708421;332;1;0.940977177775177;2;0.13;0.0807580084781177;0.0282983785359497;0.239613622590951;ager;158.541036;587.493699;7.401472;0;5.29;11.5947817360763;0.39;4.27
9;34;5;2020-09-09;55.340333;8.706889;312;2;0.94455545446804;2;0.21;0.0931655681177997;0.0384522138297317;0.243167215940693;ager;77.092994;546.475503;6.526008;0;6.28;19.0346826586707;0.44;4.65
10;34;6;2020-09-09;55.340241;8.709039;322;2;0.945504866187236;1;0.29;0.0910332946185524;0.0344559319380337;0.211668926902932;ager;184.193373;544.675654;7.306164;0;5.35;13.1533902561527;0.37;3.98
11;34;7;2020-09-09;55.338223;8.709932;324;1;0.940760734449579;1;0.18;0.0702546577490671;0.0166009587530523;0.229260910689218;ager;46.081194;322.523587;8.828601;0;6.32;15.4196196196196;0.36;3.8
12;34;8;2020-09-11;55.338578;8.714430;2;4;0.955187507259348;4;0.23;0.0840811471391771;0.0291544836283596;0.234724131666697;ager;39.456895;187.284655;6.066474;0;4.82;10.741235059761;0.28;2.79
13;34;9;2020-09-10;55.342277;8.710684;324;2;0.945651611719756;2;0.34;0.10306178995758;0.0394136281098229;0.226744915920689;ager;57.623068;647.637958;6.813693;0;5.02;6.57379032258065;0.32;3.12
14;35;1;2020-09-24;55.337519;8.71651;268;12;0.930328386615835;3;0.14;0.144064704766902;0.135390205438581;0.295798947716368;ager;6.663507;25.026419;2.977827;0;5.14;7.30245614035088;0.14;1.36
15;35;2;2020-09-24;55.336860;8.715857;3;4;0.955080871508259;2;0.34;0.0348026790637372;0.0220457779200555;0.129769367550018;ager;28.341983;62.274709;8.31776;0;4.75;7.26139909411173;0.36;3.64
16;35;3;2020-09-11;55.337575;8.713737;292;4;0.947025715752269;2;0.22;0.0462206164266675;0.0342768576633688;0.178442042819403;ager;10.489322;199.453813;5.678708;0;4.89;15.7837140019861;0.32;3.18
17;40;1;2020-09-21;55.336225;8.711812;8;6;0.962031978628646;6;0.39;0.269904249619418;0.213925710266444;0.284907165149402;mvj;79.528268;107.355939;5.119093;1;4.28;16.549023535303;0.56;6.18
18;40;2;2020-09-21;55.336708;8.712390;198;2;0.925405822356435;3;0.31;0.181987187327943;0.16268081433162;0.24392139352947;mvj;101.985206;163.644619;18.47517;1;4.45;NA;0.46;5.4
19;40;3;2020-09-21;55.335469;8.714490;352;4;0.956020977054667;0;0.23;0.18953555695077;0.178806827053985;0.382258245940195;mvj;17.734994;34.26789;4.502254;1;5.13;5.92;0.12;1.28
20;41;1;2020-09-17;55.339809;8.704230;348;1;0.94110710390558;3;0.21;0.0345630273739349;0.0178090844216136;0.094568707606211;ager;101.27075;477.456165;6.526008;1;4.94;5.59860488290982;0.25;2.6
21;41;2;2020-09-16;55.339068;8.702079;320;1;0.940567506707858;1;0.41;0.0320854955829979;0.0189528602017954;0.122702343312739;ager;35.165554;356.798783;6.1777;1;6.51;6.69227722772277;0.22;2.54
22;41;3;2020-09-16;55.340028;8.702758;332;2;0.946102609634469;2;0.35;0.0378813642438839;0.0228439930822405;0.120533189937548;ager;61.498744;469.158449;9.416373;1;5.22;14.2589276930644;0.28;2.81
23;41;4;2020-09-16;55.338935;8.706229;348;1;0.941119729131112;1;0.44;0.0962551780394839;0.0432437400315439;0.072967840426545;ager;40.310632;388.831858;6.83616;1;5.06;6.94114114114114;0.43;4.57
24;42;1;2020-09-17;55.337769;8.699645;191;3;0.918797416702222;1;0.21;0.0137283600981075;0.00404557715894152;0.0526237491777942;ager;61.889651;150.090333;10.99194;1;4.85;11.6067898152771;0.22;2.21
25;42;2;2020-09-17;55.338399;8.700881;348;5;0.960515606728922;1.5;0.15;0.0329237589395701;0.00925194426861814;0.0433891834445233;ager;59.565938;252.335965;5.626523;1;5.32;8.96793743890518;0.24;2.55
26;42;3;2020-09-17;55.338990;8.701466;48;5;0.945002308198774;4;0.17;0.0771839596937296;0.0457007879645749;0.102603843235055;ager;4.535624;327.539019;4.048069;1;6.56;14.7668165917042;0.25;2.56
27;43;1;2020-09-26;55.337163;8.704439;40;4;0.946432969022095;1;0.31;0.346056882881115;0.323855917894101;0.399768671609948;mvj;76.862855;185.305612;16.36496;1;5.48;3.61910447761194;0.29;3.24
28;43;2;2020-09-26;55.335706;8.705745;342;32;0.966887552130635;4;0.13;0.157220316150463;0.142136050669093;0.223914472856855;mvj;6.935121;28.346075;5.09889;1;3.46;9.86527777777778;0.28;3.01
29;43;3;2020-09-25;55.337607;8.709524;68;2;0.936418608224017;1;0.27;0.0969076636777172;0.085293536522124;0.205072848035365;mvj;15.26446;252.999342;6.197503;1;5.09;3.36937119675456;0.33;3.55
30;43;4;2020-09-25;55.336530;8.709833;294;4;0.947646299129485;4;0.22;0.139201147463538;0.127061070892208;0.241112589852366;mvj;9.736896;134.016175;4.72503;1;4.9;5.33719420868697;0.29;2.99
31;43;5;2020-09-21;55.336326;8.709719;186;1;0.930086862149511;2;0.35;0.125381808559128;0.0862030614840192;0.136229311235506;mvj;28.278609;111.045051;5.609715;1;4.88;6.16028014007003;0.36;4
32;43;6;2020-09-21;55.337937;8.706861;320;5;0.957866668317108;1.5;0.8;0.150778492079132;0.13588388348835;0.249589263330044;mvj;50.339594;280.140575;5.297342;1;5.1;4.38662006989516;0.35;4.03
33;43;7;2020-09-26;55.336489;8.704779;242;5;0.925500288037183;2;0.18;0.152744859582645;0.13567691812401;0.272491157535613;mvj;88.708292;111.983319;5.856957;1;4.65;3.1371801304566;0.27;2.91